iteration,cooperator_mooves, agents, bestscore, fullcoop_agents, fulldefector_agents, pair_score_mean
143,23, 200, 10, 2, 197, 0.230000
144,10, 200, 10, 1, 199, 0.100000
145,20, 200, 7, 0, 196, 0.200000
146,4, 200, 4, 0, 199, 0.040000
147,10, 200, 6, 0, 198, 0.100000
148,19, 200, 10, 1, 197, 0.190000
149,0, 200, 0, 0, 200, 0.000000
150,10, 200, 10, 1, 199, 0.100000
151,16, 200, 10, 1, 198, 0.160000
152,0, 200, 0, 0, 200, 0.000000
153,10, 200, 10, 1, 199, 0.100000
154,11, 200, 7, 0, 198, 0.110000
155,9, 200, 9, 0, 199, 0.090000
156,33, 200, 10, 2, 195, 0.330000
157,7, 200, 7, 0, 199, 0.070000
158,0, 200, 0, 0, 200, 0.000000
159,11, 200, 10, 1, 198, 0.150000
160,9, 200, 5, 0, 198, 0.090000
161,15, 200, 10, 1, 198, 0.150000
162,6, 200, 6, 0, 199, 0.060000
163,0, 200, 0, 0, 200, 0.000000
164,17, 200, 10, 1, 198, 0.170000
165,7, 200, 7, 0, 199, 0.070000
166,7, 200, 3, 0, 197, 0.070000
167,6, 200, 6, 0, 199, 0.060000
168,10, 200, 6, 0, 198, 0.180000
169,11, 200, 6, 0, 198, 0.110000
170,7, 200, 6, 0, 198, 0.070000
171,4, 200, 4, 0, 199, 0.040000
172,0, 200, 0, 0, 200, 0.000000
173,8, 200, 5, 0, 198, 0.080000
174,6, 200, 6, 0, 199, 0.060000
175,0, 200, 0, 0, 200, 0.000000
176,14, 200, 10, 1, 198, 0.140000
177,7, 200, 6, 0, 198, 0.070000
178,5, 200, 5, 0, 199, 0.050000
179,17, 200, 6, 0, 197, 0.170000
180,25, 200, 10, 2, 197, 0.250000
181,3, 200, 3, 0, 199, 0.030000
182,0, 200, 0, 0, 200, 0.000000
183,15, 200, 10, 1, 198, 0.150000
184,10, 200, 10, 1, 199, 0.100000
185,12, 200, 7, 0, 198, 0.120000
186,7, 200, 7, 0, 199, 0.070000
187,8, 200, 5, 0, 198, 0.080000
188,4, 200, 4, 0, 199, 0.040000
189,10, 200, 10, 1, 199, 0.100000
190,16, 200, 10, 1, 198, 0.160000
191,5, 200, 5, 0, 199, 0.050000
192,18, 200, 10, 1, 197, 0.180000
193,13, 200, 7, 0, 198, 0.130000
194,0, 200, 0, 0, 200, 0.000000
195,20, 200, 10, 2, 198, 0.200000
196,0, 200, 0, 0, 200, 0.000000
197,4, 200, 4, 0, 199, 0.040000
198,5, 200, 5, 0, 199, 0.050000
199,6, 200, 6, 0, 199, 0.060000
